repository,query,duration (ms)
UserRepository,create,4531
UserRepository,findById,236
UserRepository,findByUsername,63
UserRepository,existsByUsername,30
UserRepository,findByEmailContainingIgnoreCase,168
UserRepository,update,1826
FunctionRepository,create,2341
FunctionRepository,findById,169
FunctionRepository,findByOwnerId,89
FunctionRepository,findByNameContainingIgnoreCase,159
FunctionRepository,findByOwnerIdAndNameContainingIgnoreCase,97
FunctionRepository,findByType,96
FunctionRepository,update,1032
PointRepository,create,4395
PointRepository,findById,142
PointRepository,findByFunctionId,107
PointRepository,findByFunctionOwnerId,99
PointRepository,update,1540
CompositeFunctionRepository,create,5495
CompositeFunctionLinkRepository,create,5495
CompositeFunctionRepository,findById,38
CompositeFunctionRepository,findByOwnerId,135
CompositeFunctionRepository,findByNameContainingIgnoreCase,177
CompositeFunctionRepository,findByOwnerIdAndNameContainingIgnoreCase,159
CompositeFunctionRepository,update,645
CompositeFunctionLinkRepository,findById,36
CompositeFunctionLinkRepository,findByCompositeFunctionId,157
CompositeFunctionLinkRepository,findByFunctionId,165
CompositeFunctionLinkRepository,update,714
CompositeFunctionLinkRepository,delete,1100
CompositeFunctionRepository,delete,872
PointRepository,delete,1128
FunctionRepository,delete,521
UserRepository,delete,590
