query,manual execution time (ms),framework execution time (ms)
create(UserDAO),2511,3086
create(FunctionDAO),1365,2972
create(PointsDAO),1424,4918
create(CompositeFunctionDAO),1240,4532
create(CompositeFunctionLinkDAO),1200,4532
findId(UserDAO),1250,154
findUsername(UserDAO),1301,114
update(UserDAO),2942,1215
delete(UserDAO),2222,1690
findId(FunctionDAO),1193,73
findName(FunctionDAO),9727,86
findOwnerId(FunctionDAO),1138,106
findType(FunctionDAO),30,67
update(FunctionDAO),2277,673
delete(FunctionDAO),1225,368
findId(PointsDAO),1033,122
update(PointsDAO),2291,4103
delete(PointsDAO),1285,4264
findId(CompositeFunctionDAO),984,20
update(CompositeFunctionDAO),2331,390
delete(CompositeFunctionDAO),1173,2190
findId(CompositeFunctionLinkDAO),1066,19
findByFunctionId(CompositeFunctionLinkDAO),1226,111
findByCompositeFunctionId(CompositeFunctionLinkDAO),1345,136
update(CompositeFunctionLinkDAO),2302,2420
delete(CompositeFunctionLinkDAO),965,741
