branch,query,execution time (ms)
manual,create(UserDAO),2511
manual,create(FunctionDAO),1365
manual,create(PointsDAO),1424
manual,create(CompositeFunctionDAO),1240
manual,create(CompositeFunctionLinkDAO),1200
manual,findId(UserDAO),1250
manual,findUsername(UserDAO),1301
manual,findId(FunctionDAO),1193
manual,findName(FunctionDAO),9727
manual,findOwnerId(FunctionDAO),1138
manual,findType(FunctionDAO),30
manual,findId(PointsDAO),1033
manual,findId(CompositeFunctionDAO),984
manual,findId(CompositeFunctionLinkDAO),1066
manual,findByFunctionId(CompositeFunctionLinkDAO),1226
manual,findByCompositeFunctionId(CompositeFunctionLinkDAO),1345
manual,update(UserDAO),2942
manual,update(FunctionDAO),2277
manual,update(PointsDAO),2291
manual,update(CompositeFunctionDAO),2331
manual,update(CompositeFunctionLinkDAO),2302
manual,delete(UserDAO),2222
manual,delete(FunctionDAO),1225
manual,delete(PointsDAO),1285
manual,delete(CompositeFunctionLinkDAO),965
manual,delete(CompositeFunctionDAO),1173
