branch,query,execution time (ms)
manual,findUsernameSorted(UserDAO ASC),277
manual,findUsernameSorted(UserDAO DESC),150
manual,findCriteriaSorted(FunctionDAO ASC),248
manual,findCriteriaSorted(FunctionDAO DESC),114
manual,findFunctionIdSorted(PointsDAO ASC),70
manual,findFunctionIdSorted(PointsDAO DESC),56
manual,findAllSorted(CompositeFunctionDAO ASC),3336
manual,findAllSorted(CompositeFunctionDAO ASC),3243
manual,findAllSorted(CompositeFunctionLinkDAO ASC),13
manual,findAllSorted(CompositeFunctionLinkDAO DESC),8
